run_name,is_baseline,bertscore_f1,citation_precision,citation_recall,content_f1,factual_consistency_normalized,factual_consistency_score,gating_avg_gating_precision,gating_avg_gating_recall,gating_lane_ids_recall,h2_context_respected,h2_error_rate,h2_hallucination_rate,h2_hint_adherence,h2_integration_score,h2_knowledge_score,h2_scope_violation_rate,h2_structure_violation_rate,llm_answer_relevance,llm_context_relevance,llm_faithfulness,llm_judge_used,mrr@10,mrr@3,mrr@5,ndcg@10,ndcg@3,ndcg@5,recall@10,recall@3,recall@5,rouge_l_recall,semantic_sim
BASELINE,True,0.736379,0.375000,0.671354,0.306016,0.515625,3.062500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.625000,0.562500,0.625000,0.000000,0.819444,0.805556,0.819444,0.662369,0.612856,0.666382,0.659722,0.542130,0.659722,0.265269,0.830167
OFAT_temp_0.0,False,0.737198,0.364706,0.651471,0.310216,0.500000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.588235,0.544118,0.558824,0.000000,0.819444,0.805556,0.819444,0.662369,0.612856,0.666382,0.659722,0.542130,0.659722,0.282430,0.842030
OFAT_embed_qwen3_bytitle,False,0.738392,0.411765,0.717157,0.316259,0.529412,3.117647,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.617647,0.558824,0.647059,0.000000,0.935185,0.935185,0.935185,0.728890,0.709060,0.733962,0.721759,0.632870,0.721759,0.287419,0.837968
OFAT_chunk_semantic_minilm,False,0.723031,0.288889,0.609788,0.277032,0.500000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.638889,0.513889,0.555556,0.000000,0.460185,0.435185,0.460185,0.436014,0.362299,0.436819,0.609788,0.451455,0.609788,0.247302,0.818214
OFAT_chunk_semantic_qwen3,False,0.733693,0.400000,0.761243,0.328161,0.555556,3.222222,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.611111,0.583333,0.611111,0.000000,0.907407,0.907407,0.907407,0.768208,0.732422,0.770035,0.761243,0.654233,0.761243,0.296802,0.830639
OFAT_prompt_structured,False,0.748533,0.364706,0.651471,0.309431,0.500000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.529412,0.544118,0.647059,0.000000,0.819444,0.805556,0.819444,0.662369,0.612856,0.666382,0.659722,0.542130,0.659722,0.215045,0.852170
OFAT_temp_0.3,False,0.730207,0.388889,0.659722,0.297855,0.500000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.638889,0.555556,0.555556,0.000000,0.819444,0.805556,0.819444,0.662369,0.612856,0.666382,0.659722,0.542130,0.659722,0.257398,0.835592
OFAT_qwen3:8b-q4_K_M,False,0.734744,0.388889,0.659722,0.304397,0.527778,3.111111,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.611111,0.555556,0.541667,0.000000,0.819444,0.805556,0.819444,0.662369,0.612856,0.666382,0.659722,0.542130,0.659722,0.257998,0.827606
OFAT_llm_llama3.1:8b,False,0.762017,0.388889,0.659722,0.336932,0.513889,3.055556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.652778,0.555556,0.555556,0.000000,0.819444,0.805556,0.819444,0.662369,0.612856,0.666382,0.659722,0.542130,0.659722,0.267910,0.832390
OFAT_llm_llama3.1:8b-instruct-q4_K_M,False,0.761538,0.388889,0.659722,0.335083,0.513889,3.055556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.513889,0.555556,0.569444,0.000000,0.819444,0.805556,0.819444,0.662369,0.612856,0.666382,0.659722,0.542130,0.659722,0.256183,0.847173
OFAT_k3,False,0.732025,0.481481,0.534722,0.303429,0.500000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.555556,0.555556,0.597222,0.000000,0.842593,0.842593,0.842593,0.581477,0.621857,0.587488,0.534722,0.534722,0.534722,0.234037,0.830457
OFAT_k10,False,0.736225,0.272098,0.808333,0.315193,0.546875,3.187500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.625000,0.546875,0.625000,0.000000,0.814815,0.805556,0.805556,0.727040,0.612856,0.660794,0.829630,0.542130,0.654167,0.269213,0.839263
OFAT_rerank_on,False,0.717742,0.129412,0.156863,0.218140,0.500000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.544118,0.455882,0.573529,0.000000,0.182407,0.157407,0.182407,0.122470,0.089675,0.122850,0.181481,0.092593,0.181481,0.194047,0.797575
OFAT_prompt_fewshot,False,0.757715,0.388889,0.659722,0.323495,0.500000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.611111,0.555556,0.611111,0.000000,0.819444,0.805556,0.819444,0.662369,0.612856,0.666382,0.659722,0.542130,0.659722,0.209417,0.845609
OFAT_prompt_cot,False,0.729431,0.388889,0.659722,0.318381,0.513889,3.055556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.597222,0.555556,0.652778,0.000000,0.819444,0.805556,0.819444,0.662369,0.612856,0.666382,0.659722,0.542130,0.659722,0.250940,0.836568
